sale_id,date,customer_id,product_id,city,quantity,unit_price,discount
1,2024-06-14,150,18,Lucknow,1,17837.89,0.0
2,2024-06-02,44,17,Lucknow,1,18981.18,0.0
3,2024-06-27,8,6,Mumbai,3,20720.01,0.05
4,2024-10-07,69,17,Lucknow,3,18981.18,0.0
5,2024-09-22,138,1,Mumbai,1,35572.45,0.0
6,2024-10-10,103,12,Hyderabad,2,58076.27,0.0
7,2024-04-30,93,9,Hyderabad,2,22585.7,0.1
8,2024-04-04,73,8,Mumbai,3,47883.97,0.05
9,2024-05-15,183,15,Delhi,2,54544.1,0.1
10,2024-05-09,89,4,Delhi,3,13316.0,0.05
11,2024-01-12,197,6,Mumbai,3,20720.01,0.0
12,2024-11-25,68,4,Hyderabad,2,13316.0,0.0
13,2024-01-06,9,13,Hyderabad,3,20702.52,0.0
14,2024-11-22,42,10,Lucknow,1,40498.63,0.1
15,2024-12-20,186,5,Delhi,1,36204.53,0.0
16,2024-02-25,200,17,Hyderabad,2,18981.18,0.0
17,2024-09-24,32,6,Hyderabad,2,20720.01,0.1
18,2024-07-16,72,14,Hyderabad,2,36789.73,0.05
19,2024-04-02,18,7,Bangalore,1,22836.91,0.05
20,2024-12-28,2,15,Hyderabad,3,54544.1,0.15
21,2024-09-27,101,14,Delhi,2,36789.73,0.05
22,2024-02-15,136,20,Mumbai,1,41431.21,0.1
23,2024-03-14,66,19,Delhi,3,11452.98,0.1
24,2024-11-21,3,18,Delhi,2,17837.89,0.05
25,2024-04-29,27,13,Bangalore,3,20702.52,0.0
26,2024-09-22,138,9,Delhi,1,22585.7,0.15
27,2024-08-16,2,7,Mumbai,1,22836.91,0.15
28,2024-10-14,38,6,Hyderabad,3,20720.01,0.1
29,2024-10-23,63,6,Lucknow,3,20720.01,0.05
30,2024-07-11,177,19,Delhi,1,11452.98,0.15
31,2024-09-30,176,20,Lucknow,2,41431.21,0.0
32,2024-11-15,65,20,Delhi,1,41431.21,0.15
33,2024-01-05,8,7,Delhi,1,22836.91,0.15
34,2024-10-01,74,2,Delhi,1,27306.54,0.15
35,2024-09-30,106,18,Bangalore,3,17837.89,0.15
36,2024-02-02,120,4,Mumbai,2,13316.0,0.05
37,2024-03-04,156,8,Bangalore,3,47883.97,0.1
38,2024-06-03,140,2,Mumbai,3,27306.54,0.15
39,2024-12-23,162,16,Bangalore,3,46391.05,0.0
40,2024-09-03,200,7,Hyderabad,1,22836.91,0.05
41,2024-01-27,179,6,Bangalore,1,20720.01,0.0
42,2024-07-30,149,15,Bangalore,1,54544.1,0.0
43,2024-01-14,107,5,Mumbai,1,36204.53,0.15
44,2024-05-10,161,2,Bangalore,1,27306.54,0.15
45,2024-07-15,152,1,Bangalore,2,35572.45,0.0
46,2024-06-20,118,12,Delhi,1,58076.27,0.05
47,2024-02-02,124,13,Bangalore,1,20702.52,0.15
48,2024-11-27,114,13,Hyderabad,2,20702.52,0.15
49,2024-01-04,135,11,Delhi,1,20668.93,0.1
50,2024-07-02,198,5,Lucknow,3,36204.53,0.05
51,2024-03-08,77,1,Bangalore,2,35572.45,0.0
52,2024-03-31,16,1,Hyderabad,3,35572.45,0.0
53,2024-08-02,45,10,Lucknow,3,40498.63,0.1
54,2024-11-16,91,8,Lucknow,2,47883.97,0.1
55,2024-09-07,89,2,Mumbai,2,27306.54,0.15
56,2024-07-15,26,19,Hyderabad,3,11452.98,0.15
57,2024-10-13,111,11,Lucknow,2,20668.93,0.15
58,2024-03-31,25,8,Bangalore,3,47883.97,0.1
59,2024-04-01,83,4,Mumbai,3,13316.0,0.1
60,2024-06-22,64,17,Mumbai,2,18981.18,0.0
61,2024-12-25,59,16,Lucknow,2,46391.05,0.1
62,2024-11-18,41,1,Bangalore,3,35572.45,0.0
63,2024-12-03,196,13,Lucknow,1,20702.52,0.15
64,2024-12-12,120,12,Bangalore,1,58076.27,0.05
65,2024-05-04,97,1,Lucknow,3,35572.45,0.1
66,2024-09-11,166,6,Bangalore,3,20720.01,0.1
67,2024-10-28,86,8,Delhi,3,47883.97,0.0
68,2024-04-28,137,19,Lucknow,1,11452.98,0.15
69,2024-01-22,150,1,Hyderabad,3,35572.45,0.05
70,2024-07-01,9,3,Hyderabad,1,32307.17,0.1
71,2024-06-07,169,12,Lucknow,1,58076.27,0.0
72,2024-10-21,63,13,Mumbai,2,20702.52,0.1
73,2024-11-20,193,14,Mumbai,2,36789.73,0.05
74,2024-04-16,138,7,Hyderabad,2,22836.91,0.05
75,2024-09-05,141,14,Lucknow,3,36789.73,0.0
76,2024-04-22,88,1,Delhi,1,35572.45,0.0
77,2024-11-28,58,19,Lucknow,1,11452.98,0.05
78,2024-05-14,173,15,Mumbai,2,54544.1,0.15
79,2024-03-11,43,18,Lucknow,3,17837.89,0.05
80,2024-07-14,12,4,Bangalore,3,13316.0,0.1
81,2024-08-06,76,12,Lucknow,3,58076.27,0.05
82,2024-12-25,27,12,Lucknow,3,58076.27,0.1
83,2024-04-12,161,13,Bangalore,3,20702.52,0.15
84,2024-05-14,172,1,Mumbai,1,35572.45,0.0
85,2024-03-13,39,15,Delhi,3,54544.1,0.15
86,2024-11-09,171,11,Bangalore,3,20668.93,0.1
87,2024-10-19,147,12,Mumbai,3,58076.27,0.15
88,2024-05-19,164,14,Hyderabad,1,36789.73,0.0
89,2024-03-15,75,4,Bangalore,2,13316.0,0.05
90,2024-08-23,31,8,Bangalore,1,47883.97,0.15
91,2024-08-04,99,12,Bangalore,3,58076.27,0.15
92,2024-09-11,61,3,Hyderabad,2,32307.17,0.15
93,2024-05-14,187,2,Mumbai,1,27306.54,0.05
